Year,Energy_MWh,Revenue_INR,OPEX_INR,EBITDA_INR,Cashflow_INR,Cumulative_Cashflow,Discounted_Cashflow,Cumulative_Discounted_CF,CO2_avoided_tons
1,83220.0,291270000.0,26250000.0,265020000.0,265020000.0,-1484980000.0,240927273.0,-1509072727.0,74898.0
2,82803.9,289813650.0,26250000.0,263563650.0,263563650.0,-1221416350.0,217821198.0,-1291251529.0,74524.0
3,82389.88,288364580.0,26250000.0,262114580.0,262114580.0,-959301770.0,196930563.0,-1094320966.0,74151.0
4,81977.93,286922755.0,26250000.0,260672755.0,260672755.0,-698629015.0,178042999.0,-916277967.0,73780.0
5,81568.04,285488140.0,26250000.0,259238140.0,259238140.0,-439390875.0,160966489.0,-755311478.0,73411.0
6,81160.2,284060700.0,26250000.0,257810700.0,257810700.0,-181580175.0,145527419.0,-609784059.0,73044.0
7,80754.4,282640400.0,26250000.0,256390400.0,256390400.0,74810225.0,131568815.0,-478215244.0,72679.0
8,80350.63,281227205.0,26250000.0,254977205.0,254977205.0,329787430.0,118948748.0,-359266496.0,72316.0
9,79948.88,279821080.0,26250000.0,253571080.0,253571080.0,583358510.0,107538891.0,-251727605.0,71954.0
10,79549.13,278421955.0,26250000.0,252171955.0,252171955.0,835530465.0,97223205.0,-154504400.0,71594.0
11,79151.39,277029865.0,26250000.0,250779865.0,250779865.0,1086310330.0,87896813.0,-66607587.0,71236.0
12,78755.63,275644705.0,26250000.0,249394705.0,249394705.0,1335705035.0,79464839.0,12857252.0,70880.0
13,78361.85,274266475.0,26250000.0,248016475.0,248016475.0,1583721510.0,71841538.0,84698790.0,70526.0
14,77970.04,272895140.0,26250000.0,246645140.0,246645140.0,1830366650.0,64949374.0,149648164.0,70173.0
15,77580.19,271530665.0,26250000.0,245280665.0,245280665.0,2075647315.0,58718241.0,208366405.0,69822.0
16,77192.29,270173015.0,26250000.0,243923015.0,243923015.0,2319570330.0,53084755.0,261451160.0,69473.0
17,76806.33,268822155.0,26250000.0,242572155.0,242572155.0,2562142485.0,47991608.0,309442768.0,69126.0
18,76422.3,267478050.0,26250000.0,241228050.0,241228050.0,2803370535.0,43386985.0,352829753.0,68780.0
19,76040.19,266140665.0,26250000.0,239890665.0,239890665.0,3043261200.0,39224041.0,392053794.0,68436.0
20,75659.98,264809930.0,26250000.0,238559930.0,238559930.0,3281821130.0,35460413.0,427514207.0,68094.0
21,75281.68,263485880.0,26250000.0,237235880.0,237235880.0,3519057010.0,32057820.0,459572027.0,67754.0
22,74905.28,262168480.0,26250000.0,235918480.0,235918480.0,3754975490.0,28981635.0,488553662.0,67415.0
23,74530.75,260857625.0,26250000.0,234607625.0,234607625.0,3989583115.0,26200547.0,514754209.0,67078.0
24,74158.1,259553350.0,26250000.0,233303350.0,233303350.0,4222886465.0,23686262.0,538440471.0,66742.0
25,73787.31,258255585.0,26250000.0,232005585.0,232005585.0,4454892050.0,21413187.0,559853658.0,66409.0
